id	city	lng	lat
cnl00016485	Erzsébetváros	19.5	47.5
cnl00003206	Penzance	5.5331	50.1167
cnl00005037	Rotterdam-Ijsselmonde	4.5497	51.8831
cnl00006443	Góra Kalwaria	21.3997	51.9831
cnl00006523	Gościkowo	15.5331	0.3667
cnl00016432	Celldömölk	170.1331	47.25
cnl00016463	Devecser	17.3331	47.1
cnl00016526	Hőgyész	23.2831	48.1667
cnl00016532	Hosszúfalu	17.05	47.1
cnl00016881	Újvidék	45.2642	19.8317
cnl00016907	Zirc	52.35	47.2631
cnl00028111	Montsant	0.8	41.2997
cnl00032941	Tulloch	-2.3342	57.3725
cnl00022063	Bargemont	6.5503	43.6197
cnl00000606	Halifax	-1.8667	53.7331
cnl00028110	Lallio	9.6314	45.6656
cnl00016392	Blaj	23.9142	46.1753
cnl00003529	Ostiglia	11.1331	45.7831
cnl00016445	Csillaghegy	19.0331	47.5831
cnl00016540	Jánoshalma	18.3167	46.2831
cnl00016554	Kápolnokmonostor	23.6831	5.2167
cnl00016415	Bihardiószeg	17.6442	48.2053
cnl00016511	Gyula	17.6331	47.6831
cnl00000021	Alet-les-Bains	15.4167	42.9975
cnl00016914	Zilina	18.73	49.2194
cnl00000189	Cayenne	52.3331	4.9331
cnl00002292	Port-au-Prince	72.3328	18.55
cnl00003153	Montilla	4.6331	37.5831
cnl00003494	Clairlieu	6.1167	48.6597
cnl00004901	Veszprem	17.9131	47.0928
cnl00005153	nan	-2.4247	51.53
cnl00019513	Almodovar del Campo	4.1667	38.7183
cnl00026589	Barrhead	-4.2167	55.7997
cnl00002605	Neustadt, Mettau	16.1517	50.3439
cnl00002861	Bonne-Fontaine-en-Tiérache	4.2331	49.7831
cnl00002921	Cowbridge	5.0	51.46
cnl00003099	Madeley	-0.3831	52.5219
cnl00003590	Világos Vár	21.6281	46.2619
cnl00020013	Vicchio	28.0	43.9331
cnl00000181	Boos	48.0667	48.0667
cnl00000802	Lahaina	-156.6667	20.8831
cnl00004571	Luslawice	20.8167	49.85
cnl00026607	Carron	-9.8331	53.0331
cnl00026572	Aberfeldy	4.0	56.6117
cnl00026599	Broughty Ferry	8.0	56.4667
cnl00000247	Kronoberg	14.4331	56.7831
cnl00001074	Obertheres	10.4478	50.2
cnl00001715	Isla de León	-5.5667	42.6
cnl00002030	Fort Marlborough	102.2517	-3.7867
cnl00003026	Hasselt, Overijssel	6.0831	52.5831
cnl00003136	Altacomba	5.8392	45.7522
cnl00003895	Falher	-117.2014	55.7231
cnl00003917	Freeport, NY	-73.5875	40.6539
cnl00004000	Hingham, Mont.	-110.4231	48.5556
cnl00004201	Neutitschein	25.1453	49.5944
cnl00004435	Topsham, Devon	-3.4667	50.1831
cnl00004454	Valença, Minho	-8.4497	42.0167
cnl00004548	Ephrata, Pa.	-76.1831	40.1831
cnl00004554	Indianapolis, Ind.	-86.15	39.7667
cnl00018665	Monte Compatri	12.7331	0.2556
cnl00024834	La Ferté sous Jouarre	3.1331	48.9831
cnl00026737	Restalrig	-3.1506	55.9594
cnl00028329	Moià, Catalunya	2.1	41.8167
cnl00001197	Quiloa	39.5128	8.96
cnl00003616	Châtelet	0.25	47.1667
cnl00004415	Syracuse, NY	-76.15	43.0497
cnl00023772	Darfo Boario Terme, Bergamo	10.1831	45.8997
cnl00026580	Aquhorties	-2.1631	57.0578
cnl00026756	Tighnabruaich	-5.2331	56.1497
cnl00002008	Campazas	5.4917	42.1417
cnl00003281	Cartuja de la Escalera de Dios	0.8094	41.2567
cnl00003433	West-Wycombe	-0.7992	51.6431
cnl00003472	Barlanga	-2.85	41.4667
cnl00004509	Westmead	150.9817	-33.8081
cnl00010377	Jaén	-3.7831	37.7667
cnl00025526	Östra Ämtervik	13.1997	13.1997
cnl00028140	Martorell, Catalunya	1.9331	41.4831
cnl00028150	Mataró, Catalunya	2.45	41.5331
cnl00001519	Vepery	80.2644	13.8494
cnl00002838	Barbastro	0.1264	12.0356
cnl00002970	Epila	-1.0	41.0
cnl00003047	Irache	-2.0431	42.6494
cnl00004024	Irkutsk	104.2997	52.2831
cnl00004486	Werba	25.6092	50.4397
cnl00000096	Banbury	1.0	52.06
cnl00000265	Capolago	7.0	45.9028
cnl00001612	Bourg-Fontaine	1.1667	49.5667
cnl00002263	Oahu	-157.9667	21.4667
cnl00002972	Escharlis	90.5231	47.9492
cnl00003444	Wrexham	6.0	53.0397
cnl00003545	Monastero di San Giacomo di Pontida	9.5042	45.7306
